Frame no,Blink Ratio,Left Eye ratio,Right Eye Ratio,Sub_P1,Sub_P2,Sub_P3,Sub_P4,Sub_P5,REB_P1,REB_P2,REB_P3,REB_P4,REB_P5,N_Blink ratio,N_left Blink,N_right Blink,Mouth_Ratio,Normalized Mouth ratio,Norlamized Nose Ratio,Nose ratio
1,2.106295987155779,2.178814524194129,2.033777450117429,1.76411171335884,1.884122969237715,1.863653210072242,1.541798524426179,0.5183195619445308,-1.278421684410366,1.665512449744487,2.119008988292625,2.12233805577611,1.874453703917958,-1.969822428528519,-1.904948444010362,-1.869099790032765,0.03213243170574907,-0.3810675274068671,0.8619917621230744,0.2764666008903542
2,2.13125126712424,2.2293664599988,2.03313607424968,1.814438274031062,2.472146345374773,2.167882864431734,1.305378824960173,0.5149218664735917,-0.5101361448410773,0.9737128174055919,1.574421876237747,1.819544171785286,2.065878591570293,-1.781135287270753,-1.523361959423841,-1.873561536568593,0.04007033894587368,0.4998860967552566,2.215546172081497,0.2818524313079019
3,2.128223575677822,2.224549782481403,2.031897368874242,2.047964542157071,1.884122969237715,1.774014116350722,1.756689476578636,0.5183195619445308,-0.9155678724028058,0.9737128174055919,1.985600412220896,2.183307869828202,2.065878591570293,-1.804027694983957,-1.559720192041326,-1.882178620084944,0.03265730198052846,-0.3228171149499668,1.291139120577921,0.2781741900938406
4,2.137157795602289,2.205081703951334,2.069233887253244,1.90557936694923,1.683235846726869,1.606788451289433,1.198428473430819,-1.132132308043982,-0.1510941042229623,1.665512449744487,2.119008988292625,1.819544171785286,1.630558709551613,-1.736475961681573,-1.706673133203613,-1.622446238631541,0.03169715407001309,-0.4293748959762571,-0.6628661531360749,0.2703991490893636
5,2.174791865513282,2.272539024426112,2.077044706600452,1.385292636454056,1.22624365495517,0.6596848613072186,1.302452136753838,-0.1305173406987904,-0.8610488790648648,0.9737128174055919,1.301446293117146,1.458864136335907,1.630558709551613,-1.451924352788593,-1.197477958580474,-1.568110087371825,0.03265730198052846,-0.3228171149499668,0.8619917621230744,0.2764666008903542
6,2.171642466946575,2.234990256931118,2.108294676962033,0.6769866190800767,-0.1633502318823205,-0.1542726801797129,-0.5114395409072954,-0.1133574941133167,-0.8610488790648648,0.2892300632714409,0.8937699064165516,0.9123088447192765,0.910884366122927,-1.475736989352248,-1.480911262585574,-1.350718922508247,0.04072834405475367,0.5729118915711602,0.71538450979343,0.2758832465802351
7,2.284673313126339,2.371414771358518,2.19793185489416,-0.08032623391019313,-0.6936711023034846,-1.225921226475142,-1.066043764559943,-2.343656913245858,-1.787252385592949,-0.6130653504341905,0.3093314201836358,0.1631725079736654,0.5743864711694391,-0.6211095411104192,-0.4511237768417555,-0.727155754278636,0.03293324609693921,-0.2921926742674811,-0.9789575342080405,0.2691414127454258
8,2.387016779425455,2.532182548244446,2.241851010606464,-0.7702391179809767,-1.033303663696088,-1.484163725971408,-1.816674742424158,-2.552085418858105,-1.698227874462709,-0.9830002309268441,-0.1712158492540265,-0.1139843904691489,-0.2266830340213548,0.1527105124732935,0.7624165127671638,-0.4216310990661428,0.02414335424923689,-1.267700052343733,0.5855906520493396,0.2753667932319944
9,2.45802047358292,2.577050274793234,2.338990672372606,-0.9639166563408694,-0.7657592069338011,-1.004706727627986,-1.016584561136052,-0.2800047723570062,-0.8003828065340033,-1.128970773712911,-0.7239484728013351,-0.4448304297316512,-0.3300866182410417,0.6895702105510167,1.101096283830637,0.2541232770646361,0.04072834405475367,0.5729118915711602,1.978572764651438,0.2809095075683782
10,2.521376561641108,2.645353004504401,2.397400118777814,-1.157081412286395,-1.295450878689449,-1.557410447268609,-2.209122560198289,-1.112953320590637,-1.083098977930883,-1.746014652003499,-1.119479613813004,-0.7485828392385456,-0.5602466434778698,1.168606276348848,1.616672949754074,0.6604499854149122,0.03273304886164356,-0.3144106814381181,0.4022668500660274,0.2746373427557386
11,2.514149394795,2.61471979709906,2.41357899249094,-0.4110856869668876,-1.022561921771982,-1.004706727627986,-1.016584561136052,-0.8815273727440267,-0.508903526064935,-1.128970773712911,-0.7239484728013351,-0.7485828392385456,-0.5602466434778698,1.113961589801213,1.385441094052633,0.7729987066450981,0.03345050600913971,-0.2347868643351828,-0.2007800030895637,0.272237802655218
