Frame no,Blink Ratio,Left Eye ratio,Right Eye Ratio,Sub_P1,Sub_P2,Sub_P3,Sub_P4,Sub_P5,REB_P1,REB_P2,REB_P3,REB_P4,REB_P5,N_Blink ratio,N_left Blink,N_right Blink,Mouth_Ratio,Normalized Mouth ratio,Norlamized Nose Ratio,Nose ratio
1,2.156488918285596,2.219767512469072,2.093210324102121,0.5546830307269746,0.3180037035064381,0.4010171078188007,0.3915615239564303,0.3208350245543901,0.5147442848183725,0.6166384148545835,0.3173796155677627,0.3637772551993378,0.7332392146875748,-0.5259087110844661,-0.7156016421745891,0.2858621783368708,0.02295819388564732,-0.632994479525058,-0.3564885128833417,0.2812770983264062
2,2.16188949444439,2.303739537426543,2.020039451462237,1.12492609867977,0.6992283268510834,0.4852523946020849,0.168598540082707,-0.02305390295495912,0.360611866678748,0.5236985029693434,0.7646440872736473,0.7888370385104874,0.9438252254168532,-0.4451254912846602,0.02997577530522711,-1.74901946857249,0.02524656914547369,-0.5514882084076521,-0.1210227463779611,0.2836253185596183
3,2.162560558601776,2.245358699124116,2.079762418079435,0.9273057376340155,0.4440053306253295,0.4278815408392753,0.2546440842286387,-0.02305390295495912,0.360611866678748,0.2916158777597813,0.4704148113059622,0.4829620322573236,0.4046378126799431,-0.4350875394565772,-0.4883806019987053,-0.08812402912033965,0.02524656914547369,-0.5514882084076521,-0.7427821707019678,0.2774247226850814
4,2.168539972866992,2.291446697906949,2.045633247827035,-0.378433228700186,0.04415775871751557,0.3753724975198005,0.6151591608883576,0.6535720022377962,-0.02451508029855197,0.5145541763483727,0.6622810999350947,0.5574557549044432,0.04315592749207677,-0.3456459090344965,-0.07917085474394088,-1.037256104019204,0.03572112076631747,-0.1784105671528984,-0.5882544199074438,0.2789657755370261
5,2.155462811766903,2.23724437389832,2.073681249635486,-0.378433228700186,0.4440053306253295,0.4278815408392753,0.6151591608883576,0.8729889213529766,0.2819766352897508,0.7307042367128385,0.3689286820493578,0.5574557549044432,1.005809312428124,-0.541257478697465,-0.56042671080106,-0.2572412968514354,0.03570404048891901,-0.1790189244205368,-0.5882544199074438,0.2789657755370261
6,2.147781123284368,2.23724437389832,2.058317872670416,-1.124001936428037,0.1930899640341464,0.7083699528462133,0.6151591608883576,0.8729889213529766,0.2051520704411892,0.2916158777597813,0.3834590402977295,0.4829620322573236,-0.1301047471551368,-0.6561621686550065,-0.56042671080106,-0.6844967428078049,0.02546170098755978,-0.5438257438831989,-0.05433047568442857,0.2842904179571472
7,2.143585619064808,2.249240804133217,2.037930433996399,0.3712494223112828,0.4440053306253295,0.4278815408392753,0.6151591608883576,0.6466797101135557,0.2086945252505028,0.4177315726320547,0.4263814241116303,0.4417401504386264,0.7332392146875748,-0.7189196096343141,-0.4539118628139927,-1.251471322835355,0.03600828285769547,-0.1681825631688522,-0.5050250221362313,0.2797957940944793
8,2.100663597960504,2.192994847623527,2.008332348297481,0.1830929089384807,0.4440053306253295,0.4278815408392753,0.7983490955710342,0.8707145726412434,0.05699260432572372,0.5236985029693434,0.3834590402977295,0.7888370385104874,0.9438252254168532,-1.360958340904716,-0.9533128838018271,-2.07459395619247,0.03319799646373008,-0.2682780189995887,-0.3564885128833417,0.2812770983264062
9,2.165847844950004,2.264796371422997,2.06689931847701,0.1830929089384807,0.4440053306253295,0.4278815408392753,0.6151591608883576,0.6535720022377962,0.7407046909360585,0.5145541763483727,0.5737753434734008,0.6348190627133165,1.426008873382093,-0.3859154571072859,-0.315795868907431,-0.4458467725972978,0.03321199474378417,-0.2677794348603104,0.0356252578665646,0.2851875159801545
10,2.14574569272369,2.218851145692353,2.072640239755027,0.9273057376340155,0.8455713305961265,0.8166647437107248,0.5262851468545441,0.4226449080191232,0.8938475106214673,0.6223273926746349,0.6174798223363033,0.6757254125489529,0.6736866876115644,-0.6866086672388292,-0.7237379515609165,-0.2861917770571573,0.02544932992796438,-0.5442663704513556,-0.1119076086580115,0.2837162207367804
11,2.138609645445068,2.192994847623527,2.084224443266609,0.3712494223112828,0.4440053306253295,0.4852523946020849,0.5262851468545441,0.4226449080191232,0.511238919049999,0.2916158777597813,0.4704148113059622,0.0976479973802724,-0.5606626034983804,-0.7933515144574708,-0.9533128838018271,0.03596487174753642,0.02546170098755978,-0.5438257438831989,-0.5097648099194587,0.2797485257983746
12,2.14447593760099,2.22364132619958,2.0653105490024,0.6483630983930854,0.8984432926756397,0.6509393503249384,0.6622654608255983,0.7584113733259363,0.3580948053187509,0.6166384148545835,0.2224143879357381,0.3637772551993378,0.7332392146875748,-0.7056019939049103,-0.6812065202461527,-0.4900304447118075,0.02546170098755978,-0.5438257438831989,-0.1987144278461073,0.2828505257687877
13,2.201044470298142,2.241415830824049,2.160673109772234,0.9273057376340155,0.4440053306253295,0.09577650630645823,0.2546440842286387,-0.02305390295495912,1.125767103251684,0.5076934093064861,0.5617845728720214,0.4020095131428952,-0.5606626034983804,0.1405647994632185,-0.5233888510687428,2.162001951674315,0.02566804108446372,-0.5364764195936503,-0.3564885128833417,0.2812770983264062
14,2.15885179226003,2.239545534775891,2.078158049744169,-0.378433228700186,0.4440053306253295,0.4278815408392753,0.2546440842286387,0.1986101682563197,0.5877606346613385,0.6223273926746349,0.6174798223363033,0.5953935180847831,0.2515393378472442,-0.4905642289359944,-0.5399949826728705,-0.1327415054812182,0.02565536696823873,-0.5369278402899592,-0.347595466279966,0.281365785664183
15,2.175038917115464,2.26585339096432,2.084224443266609,0.9273057376340155,0.4440053306253295,0.4278815408392753,0.3448864700020709,0.20564675069397,0.4355205713130839,0.1763738846534235,0.3234513069433532,0.2902690104432282,-0.8291661988605719,-0.2484330142887825,-0.3064107206959382,0.03596487174753642,0.02546170098755978,-0.5438257438831989,-0.5097648099194587,0.2797485257983746
