Frame no,Blink Ratio,Left Eye ratio,Right Eye Ratio,Sub_P1,Sub_P2,Sub_P3,Sub_P4,Sub_P5,REB_P1,REB_P2,REB_P3,REB_P4,REB_P5,N_Blink ratio,N_left Blink,N_right Blink,Mouth_Ratio,Normalized Mouth ratio,Norlamized Nose Ratio,Nose ratio
1,2.053175806568133,2.10803330633783,1.998318306798436,-0.3086699503336026,-0.243330397069308,-0.3633427910025122,0.1362421669443732,-0.569769745626894,-0.01835794721324638,-0.7972920608959827,-0.7156070011915837,-0.592079058768522,-0.4177778727041652,0.3123220786651198,0.3461128384615365,0.2608539987994266,0.03573594351844248,0.8973501943518382,0.6772651326707992,0.271615706658662
2,2.09042292508096,2.164001617535864,2.016844232626056,-0.5818193630416715,-0.09342103674784295,-0.4106098767131391,0.2674610951300726,1.374305596607036,0.4731819448920957,-0.3029642206472046,-0.6226849793265015,-0.555241354869835,-0.583634980495296,0.665552804160572,0.8160554879793274,0.4569315268176386,0.02548153226283533,0.09173996267259009,-0.6451533638368117,0.2640277036638656
3,2.114131800959197,2.1986660913154,2.029597510602994,-0.6301561664726766,-0.4403026781931236,-0.3633427910025122,-0.7230215614885288,0.1691434774281783,0.965400622596762,0.2866152430803309,-0.09999565958186846,-0.1537129090561176,-0.2069109694465375,0.8903944499449984,1.107118668257449,0.5919116213681105,0.02548153226283533,0.09173996267259009,0.9875681784874947,0.2733962174781717
4,2.086352825387596,2.150510796006904,2.022194854768289,0.4103646653871566,-0.3918946804971206,-0.4106098767131391,0.5391984025340818,1.374305596607036,0.965400622596762,-0.7972920608959827,-0.7156070011915837,-0.592079058768522,-0.9600649722723424,0.6269542675508079,0.7027786661888951,0.5135622600274448,0.02568835879826598,0.107988732979573,0.6908948231996233,0.2716939134690053
5,2.110815198065448,2.171007099018482,2.050623297112413,-0.7506369301280317,-0.7446868007519057,-0.9696755743215998,-1.307640921029008,-0.6350621105887458,-0.03280600877516766,-0.3029642206472046,-0.00842766969023575,-0.1913626624632537,-0.3127775784023959,0.8589416532424559,0.8748776046131603,0.8144475573189682,0.0161101838077742,-0.6444948158867926,1.14661493977081,0.2743088236645777
6,2.059018133475481,2.132205752234764,1.985830514716199,-0.5303045739064302,-0.9946331962731563,-0.6665369989757363,-1.152210769710975,-1.025912218263022,-0.9993591188653554,-0.7972920608959827,-0.2763661026083446,-0.5170191194718843,-0.2069109694465375,0.3677274215335501,0.5490788209428763,0.1286837944774529,0.03295848875222696,0.6791469331489075,0.4513499205307939,0.270319411037559
7,2.053261956714876,2.109049807795338,1.997474105634415,-0.3086699503336026,-0.7446868007519057,-0.3633427910025122,-0.116792551907876,-0.569769745626894,-0.01835794721324638,0.2866152430803309,-0.2763661026083446,-0.5170191194718843,-0.6899921308265637,0.3131390782089936,0.3546479787570816,0.2519190133670352,0.01787425013507906,-0.505905690951849,0.295694809230804,0.2694262660506892
8,2.038351052060597,2.084433671685474,1.99226843243572,-0.08574789686062671,0.008064047790137757,0.5465620792838954,0.5663039078203442,1.445922248768075,0.5003273917402346,-0.6832053032204219,-0.2763661026083446,-0.1537129090561176,-0.2069109694465375,0.1717324438404611,0.147956513948924,0.1968224129612976,0.02568835879826598,0.107988732979573,0.04694542728256941,0.2679989485561429
9,2.059596002739043,2.10803330633783,2.011158699140255,-0.7506369301280317,-0.4403026781931236,-0.2623876787463317,-0.116792551907876,0.2014651117071345,-1.257584336091826,-1.23145861177333,-0.7540755412289768,-0.6173927851035126,-0.3920013515552866,0.3732076086556499,0.3461128384615365,0.3967561076923721,0.02260933675776886,-0.1339063497863007,0.735678721691509,0.2719508823156848
10,2.024044707239526,2.075404334620079,1.972685079858973,-0.1326080332566062,-0.8948616562251511,-0.4106098767131391,-0.5898709596185301,0.5903114023414806,0.012136355215424,-1.163743045135769,-0.8062511618984586,-0.555241354869835,-0.3127775784023959,0.0360591149467225,0.07214092307131965,-0.0104468700578932,0.02569599038929026,0.1085882883962515,0.2824025029033492,0.2693499951421328
11,2.070071109057804,2.14004883217481,2.000093385940797,-0.3578490055400813,-0.3435367569853097,-0.7141408321627082,-0.1613570462126948,0.9692675246085336,0.4620021811132904,0.1941518083511561,-0.5275003139266495,-0.2960945885990425,-0.3481833698752732,0.4725476261483784,0.6149339037300579,0.2796413529921142,0.0254889809464433,0.09232514846020322,-0.2729855667928965,0.2661631928195254
12,2.065834572822625,2.104124260913629,2.027544884731621,-0.4027880137302222,-0.243330397069308,-0.3633427910025122,0.1362421669443732,0.2014651117071345,0.4731819448920957,-0.3029642206472046,-0.00842766969023575,-0.6275258077723538,-1.003747846754224,0.4323706989741439,0.3132902085766641,0.5701867256435972,0.03323356517844353,0.7007575725049856,0.04694542728256941,0.2679989485561429
13,2.110033811359495,2.150833735465747,2.069233887253244,-0.3086699503336026,-0.243330397069308,-0.3633427910025122,0.401786854235276,0.1691434774281783,-0.03120056087061655,-0.8699585990910825,-0.7156070011915837,-0.592079058768522,-0.6899921308265637,0.8515314211478292,0.705490254615876,1.011421168447961,0.0241739040664872,-0.01099032851153975,-0.6592612966684602,0.2639467527116068
14,2.054051596822782,2.098904017351432,2.009199176294132,-0.8541067693492114,-0.5391010228715891,-0.4557270904775296,-0.7230215614885288,-0.6187339236895295,-0.2497893175951963,-0.7454187783908869,-0.4978767196229841,-0.7370929281403927,-0.4484718267014286,0.3206275809263212,0.2694579928418165,0.3760166100101548,0.02928923541291209,0.3908819163583084,0.5792073986115222,0.2710530539268152
15,2.093903155910806,2.164001617535864,2.023804694285747,-0.3086699503336026,-0.243330397069308,-0.3633427910025122,-0.4535768320362032,0.1691434774281783,-0.03280600877516766,-0.3029642206472046,-0.8062511618984586,-0.555241354869835,-0.583634980495296,0.698557356190411,0.8160554879793274,0.5306007257984063,0.01816441270380699,-0.4831098493973443,0.9875681784874947,0.2733962174781717
16,2.039305814119481,2.080293321440527,1.998318306798436,-0.4027880137302222,-0.5391010228715891,-0.4557270904775296,-0.4535768320362032,0.2014651117071345,0.4731819448920957,-1.28879135526353,-0.8062511618984586,-0.2625595492268467,-0.2462902681084081,0.1807868702820445,0.1131917136111513,0.2608539987994266,0.02508480456542522,0.06057211848754457,0.04694542728256941,0.2679989485561429
