Frame no,Blink Ratio,Left Eye ratio,Right Eye Ratio,Sub_P1,Sub_P2,Sub_P3,Sub_P4,Sub_P5,REB_P1,REB_P2,REB_P3,REB_P4,REB_P5,N_Blink ratio,N_left Blink,N_right Blink,Mouth_Ratio,Normalized Mouth ratio,Norlamized Nose Ratio,Nose ratio
1,2.018685820142252,2.031993600783923,2.005378039500581,0.05302331590173217,-0.8436055852716404,-1.010744520167522,-1.121147498705042,-1.175412142801269,-0.9659190528026961,-0.5661406848865672,-0.642093107106074,-0.04685135091705097,2.302480232648036,0.9033037069920578,0.8438963078686305,0.9765760411765071,0.03165631281442108,1.054216498905964,-0.5813580606087834,0.265753234227193
2,1.996552348216422,2.023093908660116,1.970010787772729,-0.703027312614873,-0.3859713851060801,-0.5254477649355612,-0.5098695172228219,-0.8085780682845676,-0.6995527113868589,-0.3389001841719309,-0.3182092216604788,-0.4912851140765437,0.5836954565013316,0.5771319065952211,0.7504795236098658,0.1580525290296719,0.01715945029963703,-2.146336670540898,-0.06774381047341987,0.2703991490893636
3,1.973853641388854,1.985935047468088,1.96177223530962,0.1390725612587013,-0.3859713851060801,-0.5254477649355612,-0.5098695172228219,-0.68287007383672,-0.1599516676119013,-0.2637362310894952,0.3300332658212645,0.2064067097426429,1.91256079433663,0.2426304737681531,0.3604366692069553,-0.03261676438899385,0.02768264250504726,0.1769271481907067,-1.15624059700385,0.2605531150343624
4,1.992826809185291,2.001462138133386,1.984191480237196,-1.016082801892799,-0.7533974761715188,-0.5254477649355612,-0.5098695172228219,-0.8085780682845676,-0.1599516676119013,-0.3389001841719309,-0.3182092216604788,0.2064067097426429,0.5836954565013316,0.5222301823061039,0.5234188104617286,0.4862439952483669,0.02745856618574883,0.127456569767463,-0.4935410696401308,0.2665475857534305
5,2.020471287968841,2.053572682334206,1.987369893603476,-0.7643058868158196,-0.4594646582384014,-0.5446999478211224,-0.8096022748409344,-0.440361127363152,-0.1599516676119013,-0.6408144879712482,-0.6457179100369066,-0.9473360007838639,0.1458068528484505,0.9296154061913826,1.070403964273111,0.559803741751764,0.0340581596904957,1.584485626029654,0.09726329632745379,0.2718917263876919
6,2.016385278155647,2.028326791497587,2.004443764813708,0.05302331590173217,-1.222254710315019,-0.7152214553032591,-0.7137151720453733,-0.440361127363152,-0.2182695377190605,-0.9879346784627432,-1.052280006083931,-1.276371594981475,-1.502073713641764,0.8694015734192523,0.805407163833708,0.9549536147608543,0.02766878222695851,0.1738671373144809,-0.4935410696401308,0.2665475857534305
7,1.965548770106097,1.969325304902575,1.96177223530962,0.5642353610281263,-0.1059718909857361,-0.7152214553032591,-0.3059399708984406,-0.3087337329602613,0.3886856335623317,0.1180668528261582,-0.3182092216604788,-0.685366567344726,-0.4623708930610338,0.1202450284372931,0.1860903304515438,-0.03261676438899385,0.03140007174001057,0.9976447281513843,-0.06774381047341987,0.2703991490893636
8,1.999135811112812,2.002090597894524,1.996181024331101,-0.01207841684580071,-0.2894695046609433,-0.3745390378259733,-0.256511699355308,-0.1297856464183734,0.798231868377491,-0.3389001841719309,-0.1409642154389846,-0.685366567344726,-1.793916629279017,0.6152033283313925,0.5300155206742583,0.7637245248721738,0.0242535625036333,-0.5801299636926368,-0.5813580606087834,0.265753234227193
9,2.001569000387021,2.011355048952814,1.991782951821228,-1.11990735400368,-1.222254710315019,-0.6324964687634482,-0.3059399708984406,0.3001354068481127,1.068876873845136,-0.1108268439834697,0.1818659013988275,-0.2395495367101722,-0.07701932884322372,0.651060229993021,0.6272610448731281,0.6619375444995159,0.02766878222695851,0.1738671373144809,-0.5942684601057754,0.2656364527771382
10,1.996362438398287,2.023556568070123,1.969168308726451,-0.2833578011206204,-0.6653579023118067,-0.2539908118012217,-0.3059399708984406,0.3001354068481127,-0.8394199914509108,-0.03210692720405592,-0.1612894611558612,-0.7272742113690454,0.9910576185062555,0.5743332843319905,0.7553358887165097,0.1385545789719262,0.02766878222695851,0.1738671373144809,0.3690494682857574,0.2743501772879556
