Frame no,Blink Ratio,Left Eye ratio,Right Eye Ratio,Sub_P1,Sub_P2,Sub_P3,Sub_P4,Sub_P5,REB_P1,REB_P2,REB_P3,REB_P4,REB_P5,N_Blink ratio,N_left Blink,N_right Blink,Mouth_Ratio,Normalized Mouth ratio,Norlamized Nose Ratio,Nose ratio
1,2.084368565290958,2.129655374955069,2.039081755626848,-0.2537005949829041,-0.4350914176173796,-0.5478195511486039,-1.156668247005139,-1.506292964411216,-0.1725651056911067,0.008106404727912589,0.2090527945767664,-0.3662730209900341,-0.6020419854326584,1.560602403718781,1.682525843692022,1.247097912343748,0.0323841836171653,1.604401335656662,0.8881784502448009,0.2717796619677476
2,2.066495275731681,2.100947377101949,2.032043174361412,-0.2537005949829041,-0.4350914176173796,-0.5478195511486039,-0.6529993351331272,-0.6857354792573302,-0.1725651056911067,-0.3893761341198441,-1.058972950797408,0.0130061657459286,-0.6020419854326584,1.037163121552113,0.9583402759487388,1.026981281586423,0.02465718259851474,0.3533578234583704,0.9113415791342234,0.2718917263876919
3,2.034809963478669,2.060913821640975,2.008706105316363,0.4721002585210857,-0.7673261787570402,0.8394428064005593,1.171973759184517,0.2207935980141486,-0.7490020386079947,-0.3893761341198441,0.2090527945767664,1.34394326495876,1.710066779753309,0.1092233013003818,-0.05154286667303418,0.2971641755208667,0.02768264250504726,0.8431962456803689,0.09084356094063653,0.2679221143843513
4,2.054094400346867,2.083533084471648,2.024655716222086,1.861096693355381,0.01564038223250701,1.138951025764468,-0.6529993351331272,-1.506292964411216,-0.4609902843199361,-1.035845684882627,0.068251412424264,1.166711993945933,1.254091482610489,0.6739896112625136,0.5190487774664713,0.7959542700103007,0.02465718259851474,0.3533578234583704,0.1119016434100967,0.2680239944804448
5,2.032708744994304,2.083533084471648,1.98188440551696,-0.6020982045362214,0.01564038223250701,-0.8515029388026202,-0.6529993351331272,-0.6857354792573302,-0.7236133474575722,-0.5863666005321906,-0.2025943263554919,1.913901553899475,-0.1306482757776305,0.04768676704999573,0.5190487774664713,-0.5416273320832977,0.02811351365100861,0.9129566288416123,0.6251813104201536,0.270507268153329
6,2.056791298889148,2.106195313879899,2.007387283898397,-0.9592759839395174,-0.8389700103680897,-0.702602961202438,-0.9081775313709067,-0.1864096454660214,-1.036594034374073,-1.430422769146188,-1.194569885431627,0.2122941252688332,1.014769931049666,0.7529713024820266,1.090724292920754,0.2559208459142685,0.02205405456956154,-0.06810276962074821,0.6028336659556803,0.2703991490893636
7,2.045337127569145,2.083286971239891,2.007387283898397,-0.6020982045362214,0.01564038223250701,-0.8515029388026202,1.171973759184517,0.2207935980141486,-0.7490020386079947,-0.7821682616784952,-1.058972950797408,0.0130061657459286,0.5492971959665858,0.4175230799445974,0.5128403455381855,0.2559208459142685,0.0244667767945954,0.3225300876908676,0.09084356094063653,0.2679221143843513
8,2.024545651030484,2.065735013620289,1.983356288440679,0.4721002585210857,1.276053578647708,1.138951025764468,0.6755739727422989,-0.5912229409778205,-0.4609902843199361,-0.6365403594846862,-0.6304023653446078,-0.5461991758117105,1.254091482610489,-0.1913785729093622,0.07007612147801173,-0.4955973300387981,0.02504700724928122,0.4164725556887975,-0.2603650636908165,0.266222948827458
9,2.010825979278427,2.033614770385351,1.988037188171502,-0.9089535712024618,0.5012701826672578,0.8394428064005593,1.171973759184517,1.134912034278091,-0.306795644784953,-0.4143407784821095,-0.1386550363962964,-0.0275699939148419,0.9458492498288765,-0.593174510341113,-0.7401864646541614,-0.3492121653577552,0.02465718259851474,0.3533578234583704,1.08242147285984,0.2727194197941411
10,2.03495106012037,2.056079660726247,2.013822459514492,0.8729074629955756,2.156474534408532,0.6984210768252809,1.430042434010474,0.6303537322705532,-0.6137267818391333,-0.4143407784821095,-0.425884417452603,0.3101207638851929,-0.2368771765250294,0.113355474317731,-0.1734890081108945,0.4571672507689739,0.02464445012483873,0.3512963666851461,0.2581448406814906,0.2687315266601977
11,2.018900083946376,2.038819095123365,1.998981072769387,-0.6020982045362214,0.01564038223250701,-0.8515029388026202,-0.6529993351331272,0.2207935980141486,-0.7236133474575722,-0.5863666005321906,0.068251412424264,1.527572571149948,0.08748866401885907,-0.3567153214764623,-0.6089026013766902,-0.006965494581514316,0.01730062378523607,-0.8377090798904676,-0.1729849475007277,0.2666456983654095
12,2.063996222371541,2.101192900928556,2.026799543814526,-0.6020982045362214,0.01564038223250701,0.8394428064005593,-0.1227445378000694,0.1441876269959674,-0.1725651056911067,-0.3893761341198441,-0.06897151567402945,0.0130061657459286,0.3443383258643722,0.9639755478495035,0.9645338395917106,0.8629979097406317,0.02465718259851474,0.3533578234583704,0.2581448406814906,0.2687315266601977
13,2.032990857574011,2.060892037506492,2.00508967764153,-0.6020982045362214,0.01564038223250701,-0.8515029388026202,-0.6529993351331272,-1.506292964411216,-1.036594034374073,-0.5863666005321906,-0.2025943263554919,-0.1798605431895946,-0.824910165912858,0.05594874958669594,-0.05209239143889791,0.184068106136715,0.02811351365100861,0.9129566288416123,-0.5471681829286088,0.2648353804488915
14,2.072627976237419,2.106174196847989,2.039081755626848,0.6294095992769688,1.039587070447986,1.831016892485967,0.005898364336728831,0.1782429706740803,-0.01914510083049014,0.2311248016573627,0.7024614288740754,0.4886895312517687,-0.02757372983749489,1.216766117397961,1.090191596428977,1.247097912343748,0.02465718259851474,0.3533578234583704,0.6028336659556803,0.2703991490893636
15,2.066618037644984,2.101192900928556,2.032043174361412,0.4721002585210857,1.276053578647708,0.8394428064005593,1.171973759184517,1.042238120864777,-0.4609902843199361,-0.5863666005321906,-0.9197309321530316,-0.1798605431895946,-1.069786079946157,1.040758341534633,0.9645338395917106,1.026981281586423,0.02465718259851474,0.3533578234583704,1.059532244872768,0.2726086805209803
16,2.068402178377214,2.124316944002504,2.012487412751923,-0.2537005949829041,0.8117793082845974,-0.5478195511486039,-0.6529993351331272,-0.6857354792573302,-1.036594034374073,-0.5863666005321906,-0.2025943263554919,-0.1798605431895946,-1.069786079946157,1.093008899053175,1.547859028192674,0.4154165080840437,0.02465718259851474,0.3533578234583704,0.2581448406814906,0.2687315266601977
