Frame no,Blink Ratio,Left Eye ratio,Right Eye Ratio,Sub_P1,Sub_P2,Sub_P3,Sub_P4,Sub_P5,REB_P1,REB_P2,REB_P3,REB_P4,REB_P5,N_Blink ratio,N_left Blink,N_right Blink,Mouth_Ratio,Normalized Mouth ratio,Norlamized Nose Ratio,Nose ratio
1,2.082840809550913,2.112503647434596,2.05317797166723,-1.096419709245307,-0.825217107119301,-0.8129632777738166,-0.8439099683760598,-0.7283683907630331,-0.674937033082698,-0.6707995127925674,-0.6731364923709534,-0.6826220422486966,-0.7646597560438105,0.955670023569465,0.8954673578469574,1.070528462305974,0.0354384955969167,-0.6856717063058749,1.208974375820143,0.2699776388906847
2,1.998162181176003,2.040846152904428,1.955478209447579,-0.1050105721225462,-0.5246281928957602,-0.6066826375529718,-0.6351141640882988,-0.720715890901588,-0.7458732466836847,-0.7522559215421109,-0.7044424380557788,-0.6559488790999993,-0.4152837951268963,0.4247156964509058,0.5727839780386296,0.08358118532889328,0.02834714078445963,-0.7168275396190733,0.6951291101046353,0.2645718817806159
3,2.023057364201797,2.035636843856216,2.010477884547378,-0.5339350844076781,-0.7091553547121463,-0.6066826375529718,-0.6351141640882988,-0.6160611375166926,-0.5884341655472903,-0.6707995127925674,-0.7044424380557788,-0.6559488790999993,-0.615387359574277,0.5808141761455822,0.5493257555433485,0.6391790531346845,0.02505880055162941,-0.7312748466401762,0.6476977691025295,0.2640728943889442
4,2.053194248116559,2.084051158385809,2.022337337847309,-0.4929072379709774,-0.755758814881221,-0.8129632777738166,-0.8439099683760598,-0.8245060966955002,-0.674937033082698,-0.7650487866466253,-0.7044424380557788,-0.6559488790999993,-0.4152837951268963,0.7697793167896602,0.7673419553273838,0.7589813420541733,0.0354384955969167,-0.6856717063058749,0.4862111368603089,0.262374022046102
5,2.01714011323842,2.035608100917791,1.998672125559049,-0.4271713389999215,-0.6749277773156132,-0.701487028372646,-0.6502581030915479,-0.5690706261699446,-0.5884341655472903,-0.6707995127925674,-0.7044424380557788,-0.6559488790999993,-0.615387359574277,0.5437116620408237,0.5491963222080424,0.5199191755109946,0.02486208714943567,-0.7321391060280232,0.6876573957225128,0.2644932778197731
6,2.016214327184261,2.040846152904428,1.991582501464094,-0.4929072379709774,-0.755758814881221,-0.8129632777738166,-0.7395769615910498,-0.720715890901588,-0.8763147865508971,-0.7180160659659532,-0.7589105060038722,-0.7245777270477148,-0.9128642587311028,0.5379067721781149,0.5727839780386296,0.4483009337022252,0.02486208714943567,-0.7321391060280232,0.5727994102369911,0.2632849483612502
7,2.082929177875411,2.117995720861467,2.047862634889356,-1.051185899613067,-0.755758814881221,-0.8129632777738166,-0.8439099683760598,-0.7283683907630331,-0.674937033082698,-0.6707995127925674,-0.7044424380557788,-0.7931861529900587,-0.8140714272784366,0.9562241131334233,0.9201989065448005,1.016833785472023,0.02525864672544669,-0.7303968234352458,0.9376413152613708,0.2671231596939757
8,2.061444145661815,2.095670004119045,2.027218287204585,-0.7947511057395401,-0.7672382981266211,-0.7771775258401459,-0.7597269043496043,-0.6770612301617237,-0.5956252765344217,-0.6297076636731015,-0.6889796660003843,-0.6695326318166054,-0.539812767416008,0.8215080573703992,0.8196631875342074,0.8082879070629673,0.02812634169568624,-0.7177976193552396,1.424507768690143,0.2722450941903689
9,2.040116431989282,2.08865036251447,1.991582501464094,-0.4456538131751998,-0.6851252008271652,-0.6743568331200231,-0.6650380171944921,-0.8148518367936572,-0.7897388642447253,-0.7180160659659532,-0.6499443012396087,-0.7245777270477148,-0.7149101725441451,0.687778424766523,0.788052792936143,0.4483009337022252,0.02487208226783127,-0.7320951925233524,0.9376413152613708,0.2671231596939757
10,2.043413928102703,2.083474354201507,2.0033535020039,-0.6130315732378894,-0.7993220016932227,-0.7956787071358677,-0.8746885950440673,-0.8245060966955002,-0.8763147865508971,-0.7998930967978451,-0.8981720227227573,-0.8617737080991913,-1.109316446481278,0.7084544780243274,0.764744528151083,0.5672096870719502,0.03241619566859178,-0.6989501665267586,0.2878480823440407,0.2602872022116657
11,2.035245520861579,2.078973842403691,1.991517199319466,-0.7082922151657576,-0.825217107119301,-0.8129632777738166,-0.7395769615910498,-0.8245060966955002,-0.7897388642447253,-0.7998930967978451,-0.7888971454842362,-0.7245777270477148,-0.5155097080205749,0.6572367002499931,0.7444781154428499,0.4476412619450265,0.03265730198052846,-0.6978908671031472,0.6876573957225128,0.2644932778197731
12,2.009609688357605,2.040846152904428,1.978373223810782,-0.3200932611471505,-0.6404044986997723,-0.7098404185939887,-0.7699224365937294,-0.720715890901588,-0.7016266710041634,-0.7044404382049038,-0.6499443012396087,-0.5873000453249094,-0.5155097080205749,0.4964941792799112,0.5727839780386296,0.3148629363664557,0.02506903489984112,-0.7312298820804572,0.5656438256961096,0.2632096701508833
13,2.038972338415141,2.073170731707317,2.004773945122964,-0.6403803050338316,-0.5588031928365146,-0.5984400465114634,-0.6196083865883214,-0.5690706261699446,-0.674937033082698,-0.6707995127925674,-0.6731364923709534,-0.6826220422486966,-0.5626912652140005,0.6806046969266053,0.7183459238949094,0.5815587748958128,0.03517443606762635,-0.6868318505796996,0.4862111368603089,0.262374022046102
14,2.047836899255259,2.078973842403691,2.016699956106828,-0.7947511057395401,-0.7672382981266211,-0.6582658057928252,-0.6873614477174664,-0.6770612301617237,-0.7458732466836847,-0.6707995127925674,-0.7044424380557788,-0.8202484498909934,-0.4152837951268963,0.7361875166580288,0.7444781154428499,0.7020334188285268,0.03267267856553518,-0.6978233101507643,0.7352992010566151,0.2649944793391891
15,2.087040836506646,2.124129066281242,2.04995260673205,-1.24484681349331,-0.8483304003653683,-0.8559859509862539,-0.7759263633666232,-0.8278872340119143,-0.8332204156329,-0.8473491625357391,-0.8435487876829205,-0.7641286936063901,-1.011281653441327,0.9820051512038881,0.9478181896715887,1.037946344727463,0.04010502759602833,-0.6651693203782058,0.5656438256961096,0.2632096701508833
16,2.106826844052225,2.118699159718711,2.09495452838574,-1.074599718535249,-0.7328348259868799,-0.6662187096132922,-0.6717478243489251,-0.7250197266727446,-0.717611523521023,-0.7180160659659532,-0.7589105060038722,-0.8890347764764611,-1.263401720384945,1.106067934509891,0.9233665867634911,1.492548515969103,0.04010502759602833,-0.6651693203782058,0.002687240827560045,0.2572872519359841
17,1.963947180395364,1.933352971038829,1.994541389751898,-0.6880176483319939,-0.3649765292405055,-0.2453745896669021,-0.2685465198954162,-0.4416726557752085,-0.3655875600406522,-0.4320554528379367,-0.2925161048905692,-0.3620857982799225,-0.3993631243470677,0.2101798322607819,0.08872765625166054,0.4781911470679662,0.04899721121107299,-0.6261015543690905,0.2878480823440407,0.2602872022116657
18,1.876554225213471,1.813328511726152,1.93977993870079,0.06778856539447352,0.355944077754559,0.3748217154820255,0.4683952892624672,0.4166888534599881,0.2809788710683203,0.1952070911262756,0.2394625066239743,0.250776822046696,0.01908634443606403,-0.3377939434605695,-0.4517587010319687,-0.07500021973081797,0.2433883052963571,0.2279547839560407,-0.1081833922787922,0.2561208702386108
19,1.725757117529746,1.64475163567325,1.806762599386242,1.109448488760057,1.134244238451681,1.061531639882176,1.050331728586098,1.15735779818382,0.9504531064856453,1.028428204345745,0.9804696423999509,0.9628276028977082,1.116128881350045,-1.283326226850285,-1.210883151013665,-1.418719977534122,0.40138593536213,0.9221166128864423,-0.7640204446526127,0.2492213305416172
20,1.720398420719708,1.622769093769815,1.8180277476696,1.304623570714719,1.286118492093474,1.300319863896232,1.32788006025728,1.255325367276808,1.436525141227076,1.321863008990158,1.352583797277669,1.457913852446762,1.377858675212393,-1.316926478928167,-1.309873507356534,-1.304921262261846,0.4900723825833692,1.311760092847547,-1.195742819464565,0.2446795230113565
21,1.695277283063829,1.609947946725421,1.780606619402237,1.401662892305494,1.405740557308592,1.482460695110719,1.569464208215353,1.663195363601037,1.387479705236446,1.4432429821864,1.505699525353677,1.537777894022749,1.548237843245686,-1.474441745725781,-1.36760886481538,-1.682943478547817,0.5423261445466404,1.541336745091117,-2.1931684615814,0.2341864016061604
22,1.740949030734601,1.630916308311248,1.850981753157954,1.401662892305494,1.405740557308592,1.365051400765718,1.356683257265551,1.23382324817208,1.364679817657036,1.460600175134492,1.450456269511729,1.330298484672139,1.35133545412547,-1.188069463625274,-1.273185499472775,-0.9720252014802668,0.5520626036754878,1.584113831515598,-1.476487287764569,0.2417260338836285
23,1.697890824078012,1.572197558056287,1.823584090099737,1.605547613576983,1.500677092347292,1.39802354065731,1.446426766811892,1.331586691265132,1.514024022388526,1.461458755884128,1.438335767197447,1.457913852446762,1.377858675212393,-1.458054247047381,-1.53760396560286,-1.248791985109184,0.584747592174627,1.727715171521057,-1.396789789517668,0.2425644678374822
24,1.69556740599877,1.582893701689892,1.808241110307648,1.800662690558193,1.712382870749882,1.651920922245508,1.618004664633461,1.625044405103744,1.640580419992093,1.653192207638556,1.72681961422988,1.676147696067041,1.673482687255542,-1.4726226087055,-1.489437785620755,-1.403784298114741,0.5367812806083745,1.516975412006851,-1.114688492242073,0.245532231083065
25,1.677454478834165,1.564089897864429,1.790819059803901,1.416278963157324,1.566938722131159,1.605592513494431,1.552417875690116,1.643744874081072,1.612628418573436,1.653192207638556,1.616230640628679,1.676147696067041,1.548237843245686,-1.586194796155812,-1.574113854906132,-1.57977904890414,0.5562877822619521,1.602677133344345,-1.750288787826828,0.2388455861993473
26,1.653258481646881,1.530562557661879,1.775954405631883,1.416278963157324,1.622908621563193,1.721284988074322,1.634332903954871,1.683392446607212,1.726792202488515,1.692304260745084,1.59269319112139,1.560259137858154,1.587791708369196,-1.737909221059552,-1.72509199785513,-1.729939393463585,0.5325829654768129,1.498530134638211,-1.217728912278727,0.2444482248259245
